Id,Name,Type,Level,Race,Attribute,ATK,DEF
4613,Eternal Drought,Spell Card,,Normal,,,
4614,Artifacts Unleashed,Spell Card,,Quick-Play,,,
4615,Stellarknight Delteros,XYZ Monster,4,Warrior,LIGHT,2500,2100
4616,Cocoon Veil,Trap Card,,Normal,,,
4617,Invader of Darkness,Effect Monster,8,Fiend,DARK,2900,2500
4618,Ritual Beast Ulti-Gaiapelio,Fusion Monster,10,Psychic,LIGHT,3200,2100
4619,Performapal Parrotrio,Pendulum Effect Monster,3,Winged Beast,WIND,500,500
4620,"Terratiger, the Empowered Warrior",Effect Monster,4,Warrior,EARTH,1800,1200
4621,Geomancer of the Ice Barrier,Tuner Monster,3,Spellcaster,WATER,800,1200
4622,Obese Marmot of Nefariousness,Normal Monster,3,Beast,EARTH,750,800
4623,Scrap Chimera,Effect Monster,4,Beast,EARTH,1700,500
4624,United We Stand,Spell Card,,Equip,,,
4625,Vylon Alpha,Synchro Monster,9,Machine,LIGHT,2200,1100
4626,DNA Transplant,Trap Card,,Continuous,,,
4627,Angel O7,Effect Monster,7,Fairy,LIGHT,2500,1500
4628,Tyhone 2,Normal Monster,6,Dragon,FIRE,1700,1900
4629,"Aether, the Empowering Dragon",Effect Monster,6,Dragon,LIGHT,2300,1600
4630,Share the Pain,Spell Card,,Normal,,,
4631,Batteryman Micro-Cell,Flip Effect Monster,1,Thunder,LIGHT,100,100
4632,Poison Draw Frog,Effect Monster,2,Aqua,WATER,100,100
4633,Meteor Flare,Trap Card,,Normal,,,
4634,Mono Synchron,Tuner Monster,1,Machine,DARK,0,0
4635,Musician King,Fusion Monster,5,Spellcaster,LIGHT,1750,1500
4636,Kozmo Strawman,Effect Monster,2,Psychic,LIGHT,500,1800
4637,Superdreadnought Rail Cannon Gustav Max,XYZ Monster,10,Machine,EARTH,3000,3000
4638,Energy Drain,Trap Card,,Normal,,,
4639,Heraldic Beast Basilisk,Effect Monster,4,Beast,EARTH,1000,1400
4640,Gravity Behemoth,Effect Monster,6,Beast,DARK,2300,2000
4641,Mask of the Accursed,Spell Card,,Equip,,,
4642,Spellbook of the Master,Spell Card,,Normal,,,
4643,Wattcancel,Trap Card,,Counter,,,
4644,Ominous Fortunetelling,Trap Card,,Continuous,,,
4645,Energy-Absorbing Monolith,Trap Card,,Normal,,,
4646,Sishunder,Effect Monster,4,Thunder,LIGHT,900,400
4647,Super Quantal Mech Beast Magnaliger,XYZ Monster,5,Machine,FIRE,2600,2000
4648,Zubaba Buster,Effect Monster,3,Warrior,EARTH,1800,600
4649,Giant Soldier of Steel,XYZ Monster,3,Rock,EARTH,1300,2000
4650,Gearfried the Swordmaster,Effect Monster,7,Warrior,LIGHT,2600,2200
4651,Eye of the Void,Trap Card,,Normal,,,
4652,Doitsu,Union Effect Monster,4,Fairy,EARTH,100,200
4653,Frozen Soul,Trap Card,,Normal,,,
4654,Fire Formation - Tenki,Spell Card,,Continuous,,,
4655,Morphtronic Remoten,Tuner Monster,3,Machine,EARTH,300,1200
4656,Lumenize,Trap Card,,Normal,,,
4657,Winged Kuriboh,Effect Monster,1,Fairy,LIGHT,300,200
4658,Winged Kuriboh,Effect Monster,1,Fairy,LIGHT,300,200
4659,Chain Disappearance,Trap Card,,Normal,,,
4660,"Cir, Malebranche of the Burning Abyss",Effect Monster,3,Fiend,DARK,1600,1200
4661,Token Thanksgiving,Spell Card,,Normal,,,
4662,Leodrake's Mane,Spell Card,,Normal,,,
4663,Genex Ally Remote,Tuner Monster,3,Machine,DARK,500,1800
4664,Flower Cardian Peony with Butterfly,Tuner Monster,6,Warrior,DARK,1000,1000
4665,Grave Lure,Trap Card,,Normal,,,
4666,Evigishki Soul Ogre,Ritual Effect Monster,8,Aqua,WATER,2800,2800
4667,Enlightenment,Trap Card,,Normal,,,
4668,Ryu Kokki,Effect Monster,6,Zombie,DARK,2400,2000
4669,Shiranui Samuraisaga,Synchro Monster,6,Zombie,FIRE,2500,0
4670,Two-Mouth Darkruler,Normal Monster,3,Dinosaur,EARTH,900,700
4671,Unicycular,Normal Monster,1,Machine,EARTH,100,100
4672,Xyz Xtreme !!,Trap Card,,Normal,,,
4673,Guard Dog,Flip Effect Monster,3,Beast,EARTH,1500,500
4674,Sentry Soldier of Stone,Effect Monster,3,Rock,EARTH,1300,2000
4675,Paradox Fusion,Trap Card,,Counter,,,
4676,Interdimensional Warp,Trap Card,,Normal,,,
4677,"Winged Dragon, Guardian of the Fortress 2",Normal Monster,4,Winged Beast,WIND,1200,1000
4678,Bombardment Beetle,Flip Effect Monster,2,Insect,WIND,400,900
4679,Level Eater,Effect Monster,1,Insect,DARK,600,0
4680,Herculean Power,Spell Card,,Continuous,,,
4681,Tyrant Wing,Trap Card,,Normal,,,
4682,Wightprince,Effect Monster,1,Zombie,DARK,0,0
4683,Frightfur Sheep,Fusion Monster,5,Fiend,DARK,2000,2000
4684,Luminous Soldier,Effect Monster,5,Warrior,LIGHT,2100,1400
4685,Worm Illidan,Effect Monster,5,Reptile,LIGHT,2000,1800
4686,Dawnbreak Gardna,Gemini Monster,3,Warrior,LIGHT,1500,500
4687,Fire King Island,Spell Card,,Field,,,
4688,Delta Flyer,Tuner Monster,3,Dragon,WIND,1500,900
4689,Darklord Marie,Effect Monster,5,Fiend,DARK,1700,1200
4690,Self-Destruct Button,Trap Card,,Normal,,,
4691,Schuberta the Melodious Maestra,Fusion Monster,6,Fairy,LIGHT,2400,2000
4692,Cloudian - Eye of the Typhoon,Effect Monster,8,Aqua,WIND,3000,1000
4693,Sonic Bird,Effect Monster,4,Winged Beast,WIND,1400,1000
4694,Archfiend Eccentrick,Pendulum Effect Monster,3,Fiend,LIGHT,800,1000
4695,Darkstorm Dragon,Gemini Monster,8,Dragon,DARK,2700,2500
4696,Kuraz the Light Monarch,Effect Monster,6,Warrior,LIGHT,2400,1000
4697,Noble Knight Brothers,Effect Monster,4,Warrior,LIGHT,1200,2400
4698,Crush Card Virus,Trap Card,,Normal,,,
4699,Crush Card Virus,Trap Card,,Normal,,,
4700,Gladiator Beast Equeste,Effect Monster,4,Winged Beast,WIND,1600,1200
4701,Rank-Up-Magic - The Seventh One,Spell Card,,Normal,,,
4702,Gem Flash Energy,Trap Card,,Continuous,,,
4703,Judgment Dragon,Effect Monster,8,Dragon,LIGHT,3000,2600
4704,Ritual Beast Tamer Zeframpilica,Pendulum Effect Monster,3,Psychic,WIND,1000,1500
4705,Gagagawind,Spell Card,,Normal,,,
4706,Dark Blade the Captain of the Evil World,Effect Monster,4,Warrior,DARK,1800,1500
4707,The Wicked Eraser,Effect Monster,10,Fiend,DARK,0,0
4708,Ritual Beast Ambush,Trap Card,,Normal,,,
4709,Shadow Delver,Gemini Monster,4,Fiend,DARK,1500,500
4710,Nine Pillars of Yang Zing,Trap Card,,Counter,,,
4711,Xyz Double Back,Spell Card,,Quick-Play,,,
4712,Mother Grizzly,Effect Monster,4,Beast-Warrior,WATER,1400,1000
4713,Nimble Musasabi,Effect Monster,2,Beast,EARTH,800,100
4714,Mask of Weakness,Trap Card,,Normal,,,
4715,Painful Return,Spell Card,,Normal,,,
4716,Divine Knight Ishzark,Effect Monster,6,Warrior,LIGHT,2300,1800
4717,Tenderness,Normal Monster,3,Fairy,LIGHT,700,1400
4718,Card of Safe Return,Spell Card,,Continuous,,,
4719,Wind-Up Rat,Effect Monster,3,Beast,EARTH,600,600
4720,Dododo Buster,Effect Monster,6,Warrior,EARTH,1900,800
4721,Alien Psychic,Effect Monster,1,Reptile,DARK,200,100
4722,Pikeru's Second Sight,Trap Card,,Normal,,,
4723,Shaddoll Zefranaga,Pendulum Effect Monster,2,Spellcaster,DARK,900,100
4724,Machina Force,Effect Monster,10,Machine,EARTH,4600,4100
4725,Slacker Magician,XYZ Monster,1,Spellcaster,LIGHT,200,2100
4726,Cyber Dragon Nova,XYZ Monster,5,Machine,LIGHT,2100,1600
4727,Oxygeddon,Effect Monster,4,Dinosaur,WIND,1800,800
4728,Mooyan Curry,Spell Card,,Normal,,,
4729,Flame Ogre,Effect Monster,7,Fiend,FIRE,2400,1700
4730,Starlight Road,Trap Card,,Normal,,,
4731,Blackwing - Damascus the Polar Night,Effect Monster,3,Winged Beast,DARK,1300,700
4732,Toy Magician,Effect Monster,4,Spellcaster,LIGHT,1600,1500
4733,Gravekeeper's Shaman,Effect Monster,6,Spellcaster,DARK,1500,1500
4734,Masked HERO Goka,Fusion Monster,6,Warrior,FIRE,2200,1800
4735,Red Dragon Ninja,Effect Monster,6,Winged Beast,FIRE,2400,1200
4736,Wall of Disruption,Trap Card,,Normal,,,
4737,Giant Kozaky,Effect Monster,4,Fiend,DARK,2500,2400
4738,Petit Moth,Normal Monster,1,Insect,EARTH,300,200
4739,Cybernetic Fusion Support,Spell Card,,Quick-Play,,,
4740,Dark Lucius LV8,Effect Monster,8,Fiend,EARTH,2800,900
4741,Junk Collector,Effect Monster,5,Warrior,LIGHT,1000,2200
4742,TGX300,Spell Card,,Continuous,,,
4743,Blade Rabbit,Effect Monster,2,Beast,EARTH,400,300
4744,Survival of the Fittest,Trap Card,,Normal,,,
4745,Tyrant Burst Dragon,Fusion Monster,8,Dragon,LIGHT,2900,2500
4746,Ground Attacker Bugroth,Normal Monster,4,Machine,EARTH,1500,1000
4747,Anarchist Monk Ranshin,Effect Monster,4,Spellcaster,EARTH,1800,100
4748,Evil HERO Dark Gaia,Fusion Monster,8,Fiend,EARTH,0,0
4749,Doomstar Magician,Effect Monster,4,Spellcaster,DARK,1800,300
4750,Cipher Mirror Knight,Effect Monster,4,Warrior,LIGHT,0,0
4751,Mispolymerization,Trap Card,,Normal,,,
4752,Survival Instinct,Trap Card,,Normal,,,
4753,Harmonic Waves,Spell Card,,Normal,,,
4754,Infernoid Decatron,Tuner Monster,1,Fiend,FIRE,500,200
4755,Psychic Snail,Effect Monster,4,Psychic,EARTH,1900,1200
4756,Mermail Abysspike,Effect Monster,4,Fish,WATER,1600,800
4757,Wind-Up Snail,Effect Monster,2,Aqua,WATER,100,2000
4758,Queen's Pawn,Trap Card,,Normal,,,
4759,Masked HERO Dark Law,Fusion Monster,6,Warrior,DARK,2400,1800
4760,Steelswarm Girastag,Effect Monster,7,Fiend,DARK,2600,0
4761,Brotherhood of the Fire Fist - Cardinal,XYZ Monster,4,Beast-Warrior,FIRE,1800,2200
4762,Flame Ghost,Fusion Monster,3,Zombie,DARK,1000,800
4763,Bubble Bringer,Trap Card,,Continuous,,,
4764,Oppressed People,Normal Monster,1,Aqua,WATER,400,2000
4765,Spear Cretin,Flip Effect Monster,2,Fiend,DARK,500,500
4766,Evil HERO Malicious Edge,Effect Monster,7,Fiend,EARTH,2600,1800
4767,Aromage Rosemary,Effect Monster,4,Plant,WATER,1800,700
4768,Reasoning,Spell Card,,Normal,,,
4769,Digital Bug Corebage,XYZ Monster,5,Insect,LIGHT,2200,1800
4770,"Gaia Drake, the Universal Force",Fusion Monster,10,Beast-Warrior,EARTH,3500,2800
4771,The Legendary Exodia Incarnate,Effect Monster,10,Spellcaster,DARK,0,0
4772,Fiend's Hand Mirror,Trap Card,,Normal,,,
4773,Doomdog Octhros,Effect Monster,3,Fiend,DARK,800,800
4774,Shadow of Eyes,Trap Card,,Normal,,,
4775,Xyz Effect,Trap Card,,Normal,,,
4776,Ring of Defense,Spell Card,,Quick-Play,,,
4777,Bicorn Re'em,Effect Monster,4,Beast,DARK,800,1600
4778,Re-Cover,Tuner Monster,1,Psychic,EARTH,700,300
4779,Bio-Mage,Normal Monster,3,Fairy,LIGHT,1150,1000
4780,Infernal Flame Vixen,XYZ Monster,4,Pyro,FIRE,2200,2000
4781,Super Quantal Fairy Alphan,Effect Monster,1,Fairy,LIGHT,0,0
4782,Worm Falco,Flip Effect Monster,2,Reptile,LIGHT,500,800
4783,Nightmare's Steelcage,Spell Card,,Normal,,,
4784,Lucius the Shadow Vassal,Effect Monster,1,Fiend,DARK,800,1000
4785,Monoceros,Effect Monster,3,Beast,LIGHT,1000,1000
4786,Empress Mantis,Normal Monster,6,Insect,WIND,2200,1400
4787,Blackwing - Shura the Blue Flame,Effect Monster,4,Winged Beast,DARK,1800,1200
4788,Giant Red Seasnake,Normal Monster,4,Aqua,WATER,1800,800
4789,Medium Piece Golem,Effect Monster,4,Rock,EARTH,1600,0
4790,Cursed Seal of the Forbidden Spell,Trap Card,,Counter,,,
4791,VW-Tiger Catapult,Fusion Monster,6,Machine,LIGHT,2000,2100
4792,Ooguchi,Effect Monster,1,Aqua,WATER,300,250
4793,Fish Depth Charge,Trap Card,,Normal,,,
4794,Goyo Defender,Synchro Monster,3,Warrior,EARTH,1000,1000
4795,Upstart Golden Ninja,Effect Monster,4,Warrior,LIGHT,500,1800
4796,Anti-Spell Fragrance,Trap Card,,Continuous,,,
4797,Wattcastle,Spell Card,,Field,,,
4798,Elemental HERO Burstinatrix,Normal Monster,3,Warrior,FIRE,1200,800
4799,Elemental HERO Burstinatrix,Normal Monster,3,Warrior,FIRE,1200,800
4800,Vampire Duke,Effect Monster,5,Zombie,DARK,2000,0
4801,Rank-Up-Magic Skip Force,Spell Card,,Normal,,,
4802,"Zefraniu, Secret of the Yang Zing",Pendulum Effect Monster,6,Wyrm,EARTH,0,2600
4803,Automatic Laser,Trap Card,,Normal,,,
4804,"Wulf, Lightsworn Beast",Effect Monster,4,Beast-Warrior,LIGHT,2100,300
4805,"Garoth, Lightsworn Warrior",Effect Monster,4,Warrior,LIGHT,1850,1300
4806,Cybernetic Magician,Effect Monster,6,Spellcaster,LIGHT,2400,1000
4807,Mavelus,Fusion Monster,4,Winged Beast,WIND,1300,900
4808,Hedge Guard,Effect Monster,3,Plant,EARTH,0,2100
4809,Augmented Heraldry,Spell Card,,Field,,,
4810,Turu-Purun,Normal Monster,2,Aqua,WATER,450,500
4811,Noble Knight Medraut,Effect Monster,4,Warrior,LIGHT,1700,1000
4812,Abyss Actors Back Stage,Trap Card,,Normal,,,
4813,Utopian Aura,Trap Card,,Normal,,,
4814,Enlightenment Paladin,Synchro Monster,8,Spellcaster,DARK,2500,2000
4815,Golden Gearbox,Spell Card,,Quick-Play,,,
4816,Mermail Abysstrite,XYZ Monster,3,Sea Serpent,WATER,1600,2800
4817,Yami,Spell Card,,Field,,,
4818,Destruction Cyclone,Effect Monster,7,Reptile,WIND,2000,1500
4819,Shifting Shadows,Spell Card,,Continuous,,,
4820,Bujingi Hare,Effect Monster,4,Beast,LIGHT,1700,500
4821,Goyo Emperor,Fusion Monster,10,Warrior,EARTH,3300,2500
4822,Brainwashing Beam,Trap Card,,Continuous,,,
4823,Cyber Dragon Drei,Effect Monster,4,Machine,LIGHT,1800,800
4824,Nightmare Horse,Effect Monster,2,Zombie,DARK,500,400
4825,Wind-Up Magician,Effect Monster,4,Spellcaster,FIRE,600,1800
4826,Mistake,Trap Card,,Continuous,,,
4827,Jurrac Velo,Effect Monster,4,Dinosaur,FIRE,1700,1000
4828,Magic Drain,Trap Card,,Counter,,,
4829,Burning Beast,Union Effect Monster,4,Pyro,FIRE,1500,1000
4830,Deskbot 002,Effect Monster,2,Machine,EARTH,500,500
4831,The Resolute Meklord Army,Spell Card,,Continuous,,,
4832,Big-Tusked Mammoth,Effect Monster,5,Beast,EARTH,2000,1000
4833,Toon Alligator,Normal Monster,4,Reptile,WATER,800,1600
4834,Core Blaster,Spell Card,,Equip,,,
4835,Circle of the Fire Kings,Spell Card,,Quick-Play,,,
4836,Fusion Tag,Spell Card,,Normal,,,
4837,Ghost Ogre & Snow Rabbit,Tuner Monster,3,Psychic,LIGHT,0,1800
4838,Eidos the Underworld Squire,Effect Monster,2,Spellcaster,DARK,800,1000
4839,Armed Dragon LV10,Effect Monster,10,Dragon,WIND,3000,2000
4840,Ally Salvo,Effect Monster,2,Machine,DARK,400,300
4841,Kozmo Landwalker,Effect Monster,6,Machine,DARK,2400,1200
4842,Archlord Kristya,Effect Monster,8,Fairy,LIGHT,2800,2300
4843,Dance Princess of the Ice Barrier,Effect Monster,4,Spellcaster,WATER,1700,900
4844,Juragedo,Effect Monster,4,Fiend,DARK,1700,1300
4845,Shift,Trap Card,,Normal,,,
4846,Tenshin,Effect Monster,2,Fairy,LIGHT,800,100
4847,Krebons,Tuner Monster,2,Psychic,DARK,1200,400
4848,Resonant Destruction,Spell Card,,Continuous,,,
4849,Trap Stun,Trap Card,,Normal,,,
4850,Speedroid Den-Den Daiko Duke,Tuner Monster,3,Machine,WIND,1000,1000
4851,Masked HERO Anki,Fusion Monster,8,Warrior,DARK,2800,1200
4852,Overlay Owl,Effect Monster,4,Winged Beast,WIND,800,1600
4853,Tachyon Chaos Hole,Trap Card,,Normal,,,
4854,Intercept,Trap Card,,Counter,,,
4855,Scrap Rage,Trap Card,,Normal,,,
4856,Umbral Horror Ghost,Effect Monster,2,Fiend,DARK,200,200
4857,Mind Over Matter,Trap Card,,Counter,,,
4858,Windstorm of Etaqua,Trap Card,,Normal,,,
4859,Card of Demise,Spell Card,,Normal,,,
4860,Dragunity Phalanx,Tuner Monster,2,Dragon,WIND,500,1100
4861,Performapal Odd-Eyes Light Phoenix,Pendulum Effect Monster,5,Winged Beast,LIGHT,2000,1000
4862,Junk Berserker,Synchro Monster,7,Warrior,WIND,2700,1800
4863,Dark Zebra,Effect Monster,4,Beast,EARTH,1800,400
4864,Igknight Champion,Effect Monster,8,Warrior,FIRE,2800,2300
4865,Elemental HERO Bladedge,Effect Monster,7,Warrior,EARTH,2600,1800
4866,Gonogo,Effect Monster,3,Rock,EARTH,1350,1600
4867,Ancient Gear Workshop,Spell Card,,Normal,,,
4868,Earth Chant,Spell Card,,Ritual,,,
4869,Blue-Eyes Spirit Dragon,Synchro Monster,9,Dragon,LIGHT,2500,3000
4870,Bonfire Colossus,Effect Monster,8,Beast-Warrior,FIRE,2600,2200
4871,Delta Crow - Anti Reverse,Trap Card,,Normal,,,
4872,Dice Try!,Trap Card,,Counter,,,
4873,Cyber Archfiend,Effect Monster,4,Fiend,DARK,1000,2000
4874,Gogogo Goram,Effect Monster,4,Rock,EARTH,2300,0
4875,Majiosheldon,Effect Monster,3,Warrior,WATER,800,2000
4876,Cash Back,Trap Card,,Counter,,,
4877,Ghost Gardna,Effect Monster,4,Warrior,DARK,0,1900
4878,Archfiend Zombie-Skull,Synchro Monster,6,Zombie,DARK,2500,1200
4879,Super Quantum Red Layer,Effect Monster,5,Warrior,FIRE,2000,800
4880,Dancing Elf,Normal Monster,1,Fairy,WIND,300,200
4881,Dragunity Divine Lance,Spell Card,,Equip,,,
4882,Memory of an Adversary,Trap Card,,Normal,,,
4883,Dust Tornado,Trap Card,,Normal,,,
4884,Maji-Gire Panda,Effect Monster,4,Beast,EARTH,1000,800
4885,"Blizzed, Defender of the Ice Barrier",Effect Monster,1,Aqua,WATER,300,500
4886,Mira the Star-Bearer,XYZ Monster,1,Warrior,LIGHT,1100,1000
4887,Turbo Booster,Effect Monster,1,Machine,EARTH,0,0
4888,Abyss-sphere,Trap Card,,Continuous,,,
4889,Galaxy Expedition,Spell Card,,Normal,,,
4890,Nephe Shaddoll Fusion,Spell Card,,Equip,,,
4891,"Snoww, Unlight of Dark World",Effect Monster,4,Fiend,DARK,1700,0
4892,Granmarg the Rock Monarch,Effect Monster,6,Rock,EARTH,2400,1000
4893,Ritual of Grace,Spell Card,,Ritual,,,
4894,Soitsu,Normal Monster,3,Fairy,WIND,0,0
4895,Legendary Flame Lord,Ritual Effect Monster,7,Spellcaster,FIRE,2400,2000
4896,No Entry!!,Trap Card,,Normal,,,
4897,Reanimation Wave,Trap Card,,Normal,,,
4898,Heraldic Beast Aberconway,Effect Monster,4,Dragon,WIND,1800,900
4899,Shinato's Ark,Spell Card,,Ritual,,,
4900,Final Ritual of the Ancients,Spell Card,,Ritual,,,
4901,Senri Eye,Spell Card,,Continuous,,,
4902,Murmur of the Forest,Spell Card,,Normal,,,
4903,Union Attack,Spell Card,,Normal,,,
4904,Sinister Seeds,Trap Card,,Normal,,,
4905,Sinister Seed Token,Token,,Plant,,,
4906,Jutte Fighter,Tuner Monster,2,Warrior,EARTH,700,900
4907,Darkness Neosphere,Effect Monster,10,Fiend,DARK,4000,4000
4908,King Scarlet,Trap Card,,Continuous,,,
4909,Fabled Gallabas,Effect Monster,4,Fiend,LIGHT,1500,800
4910,Pendulum Impenetrable,Spell Card,,Quick-Play,,,
4911,Madolche Ticket,Spell Card,,Continuous,,,
4912,Metalfoes Steelen,Pendulum Normal Monster,2,Psychic,FIRE,0,2100
4913,Mystic Swordsman LV6,Effect Monster,6,Warrior,EARTH,2300,1700
4914,Elemental HERO Plasma Vice,Fusion Monster,8,Warrior,EARTH,2600,2300
4915,Raidraptor - Napalm Dragonius,Effect Monster,4,Winged Beast,DARK,1000,1000
4916,Kishido Spirit,Spell Card,,Continuous,,,
4917,Battle of the Elements,Trap Card,,Normal,,,
4918,Battle Instinct,Trap Card,,Normal,,,
4919,Batteryman 9-Volt,Effect Monster,4,Thunder,LIGHT,1000,1000
4920,Infernoid Pirmais,Effect Monster,1,Fiend,FIRE,0,0
4921,Overpowering Eye,Spell Card,,Normal,,,
4922,"Renge, Gatekeeper of Dark World",Normal Monster,4,Fiend,DARK,100,2100
4923,Monster Rebone,Trap Card,,Continuous,,,
4924,Sanguine Swamp,Trap Card,,Continuous,,,
4925,Reptilianne Hydra,Synchro Monster,6,Reptile,DARK,2100,1500
4926,Heroic Champion - Excalibur,XYZ Monster,4,Warrior,LIGHT,2000,2000
4927,Nefarious Archfiend Eater of Nefariousness,Effect Monster,4,Beast,EARTH,1500,200
4928,Naturia Cherries,Tuner Monster,1,Plant,EARTH,200,200
4929,Divine Dragon Lord Felgrand,Effect Monster,8,Dragon,LIGHT,2800,2800
4930,Cold Wave,Spell Card,,Normal,,,
4931,Skelengel,Flip Effect Monster,2,Fairy,LIGHT,900,400
4932,Tentacle Plant,Normal Monster,2,Plant,WATER,500,600
4933,Flamvell Counter,Trap Card,,Counter,,,
4934,Venom Shot,Spell Card,,Normal,,,
4935,Damage Eater,Effect Monster,2,Fiend,DARK,100,800
4936,Fiend Griefing,Trap Card,,Normal,,,
4937,Stray Lambs,Spell Card,,Normal,,,
4938,Lamb Token,Token,,Beast,,,
4939,Lamb Token,Token,,Beast,,,
4940,Junk Warrior,Synchro Monster,5,Warrior,DARK,2300,1300
4941,UFO Turtle,Effect Monster,4,Machine,FIRE,1400,1200
4942,Flame Cerebrus,Normal Monster,6,Pyro,FIRE,2100,1800
4943,Earthshaker,Trap Card,,Normal,,,
4944,Rare Value,Spell Card,,Normal,,,
4945,Train Connection,Spell Card,,Equip,,,
4946,D.D. Borderline,Spell Card,,Continuous,,,
4947,Broken Blocker,Trap Card,,Normal,,,
4948,Raidraptor - Sharp Lanius,Effect Monster,4,Winged Beast,DARK,1700,1000
4949,Arcana Force XIV - Temperance,Effect Monster,6,Fairy,LIGHT,2400,2400
4950,Ancient Gear Box,Effect Monster,4,Machine,EARTH,500,2000
4951,Absolute King Back Jack,Effect Monster,1,Fiend,DARK,0,0
4952,Blackfeather Darkrage Dragon,Synchro Monster,8,Dragon,DARK,2800,1600
4953,ZW - Leo Arms,XYZ Monster,5,Beast,LIGHT,3000,1200
4954,Machina Soldier,Effect Monster,4,Machine,EARTH,1600,1500
4955,Zenmailfunction,Spell Card,,Normal,,,
4956,Red Duston,Effect Monster,1,Fiend,FIRE,0,1000
4957,Synchronized Realm,Spell Card,,Continuous,,,
4958,Chaos End,Spell Card,,Normal,,,
4959,Naturia Rosewhip,Tuner Monster,3,Plant,EARTH,400,1700
4960,Tornado,Spell Card,,Quick-Play,,,
4961,Big Bang Shot,Spell Card,,Equip,,,
4962,Heroic Challenger - Night Watchman,Effect Monster,4,Warrior,EARTH,1200,300
4963,BOXer,Effect Monster,4,Warrior,EARTH,1800,1000
4964,Wild Nature's Release,Spell Card,,Normal,,,
4965,Edge Imp Chain,Effect Monster,4,Fiend,DARK,1200,1800
4966,Arcana Force IV - The Emperor,Effect Monster,4,Fairy,LIGHT,1400,1400
4967,Battery Charger,Spell Card,,Normal,,,
4968,Toon Buster Blader,Toon Monster,7,Warrior,EARTH,2600,2300
4969,Phantom Ghost,Normal Monster,2,Zombie,DARK,600,800
4970,Elemental HERO Thunder Giant,Fusion Monster,6,Warrior,LIGHT,2400,1500
4971,Pyrotech Mech - Shiryu,Effect Monster,8,Pyro,FIRE,2900,1800
4972,Tripod Fish,Effect Monster,3,Fish,WATER,300,1300
4973,Sea Lord's Amulet,Spell Card,,Continuous,,,
4974,Paleozoic Anomalocaris,XYZ Monster,2,Aqua,WATER,2400,0
4975,Advanced Heraldry Art,Spell Card,,Normal,,,
4976,Ghostrick Jackfrost,Effect Monster,1,Fiend,DARK,800,100
4977,Starliege Paladynamo,XYZ Monster,4,Warrior,LIGHT,2000,1000
4978,Skull Archfiend of Lightning,Effect Monster,6,Fiend,DARK,2500,1200
4979,Watthopper,Effect Monster,1,Thunder,LIGHT,0,0
4980,Sword of Dragon's Soul,Spell Card,,Equip,,,
4981,Elemental Burst,Trap Card,,Normal,,,
4982,Paleozoic Hallucigenia,Trap Card,,Normal,,,
4983,Sacred Phoenix of Nephthys,Effect Monster,8,Winged Beast,FIRE,2400,1600
4984,Return of the Monarchs,Spell Card,,Continuous,,,
4985,Grandsoil the Elemental Lord,Effect Monster,8,Beast-Warrior,EARTH,2800,2200
4986,"Chiwen, Light of the Yang Zing",Tuner Monster,1,Wyrm,LIGHT,0,0
4987,The Creator,Effect Monster,8,Thunder,LIGHT,2300,3000
4988,Banisher of the Light,Effect Monster,3,Fairy,LIGHT,100,2000
4989,Truckroid,Effect Monster,4,Machine,EARTH,1000,2000
4990,Dark Scorpion - Chick the Yellow,Effect Monster,3,Warrior,DARK,1000,1000
4991,Spellbook of Eternity,Spell Card,,Normal,,,
4992,U.A. Turnover Tactics,Spell Card,,Quick-Play,,,
4993,Bubble Crash,Trap Card,,Normal,,,
4994,Dark World Grimoire,Spell Card,,Continuous,,,
4995,Sinister Sprocket,Tuner Monster,1,Fiend,DARK,400,0
4996,Igknight Crusader,Pendulum Normal Monster,3,Warrior,FIRE,1600,300
4997,Summoning Curse,Spell Card,,Continuous,,,
4998,Remote Revenge,Trap Card,,Normal,,,
4999,Battlin' Boxer Rabbit Puncher,Effect Monster,3,Warrior,FIRE,800,1000
5000,Lionhearted Locomotive,Effect Monster,4,Machine,EARTH,2400,2100
5001,Graverobber,Trap Card,,Normal,,,
5002,Elder of the Six Samurai,Effect Monster,3,Warrior,EARTH,400,0
5003,Imperial Order,Trap Card,,Continuous,,,
5004,Divine Grace - Northwemko,Ritual Effect Monster,7,Spellcaster,LIGHT,2700,1200
5005,Vanadis of the Nordic Ascendant,Tuner Monster,4,Fairy,DARK,1200,400
5006,Malicevorous Fork,Effect Monster,2,Fiend,DARK,400,400
5007,Blizzard Dragon,Effect Monster,4,Dragon,WATER,1800,1000
5008,Flelf,Effect Monster,2,Spellcaster,WIND,800,1300
5009,Greenkappa,Flip Effect Monster,3,Warrior,DARK,650,900
5010,Portable Battery Pack,Trap Card,,Continuous,,,
5011,Magic Reflector,Spell Card,,Normal,,,
5012,Level Modulation,Spell Card,,Normal,,,
5013,Legendary Sword,Spell Card,,Equip,,,
5014,Earthquake Giant,Effect Monster,5,Rock,EARTH,1600,2100
5015,Yosenju's Divine Mountain Winds,Spell Card,,Normal,,,
5016,Black Dragon Collapserpent,Effect Monster,4,Dragon,DARK,1800,1700
5017,Phantom Knights' Sword,Trap Card,,Continuous,,,
5018,Gottoms' Second Call,Spell Card,,Normal,,,
5019,Glorious Illusion,Trap Card,,Continuous,,,
5020,Void Purification,Trap Card,,Continuous,,,
5021,Bubble Shuffle,Spell Card,,Quick-Play,,,
